year,home_team,home_points,away_team,away_points
2015,Stanford,31,UCF,7
2015,UNLV,3,UCLA,37
2015,Arizona State,35,Cal Poly,21
2015,Charleston Southern,47,East Tennessee State,7
2015,Louisville,17,Clemson,20
2015,South Carolina State,36,Florida A&M,0
2015,Hampton,37,Howard,19
2015,Boston College,0,Florida State,14
2015,Boise State,52,Idaho State,0
2015,Arizona State,34,New Mexico,10
2015,Michigan State,35,Air Force,21
2015,Akron,52,Savannah St,9
2015,Army,14,Wake Forest,17
2015,Oklahoma,52,Tulsa,38
2015,Texas A&M,44,Nevada,27
2015,Missouri,9,UConn,6
2015,North Carolina,48,Illinois,14
2015,Maryland,35,South Florida,17
2015,Michigan,28,UNLV,7
2015,Minnesota,10,Kent State,7
2015,Florida Atlantic,15,Buffalo,33
2015,Villanova,28,Delaware,21
2015,Georgetown,10,Dartmouth,31
2015,Duke,10,Northwestern,19
2015,Brown,16,Bryant,20
2015,Lehigh,42,Pennsylvania,21
2015,Syracuse,30,Central Michigan,27
2015,Dayton,24,Duquesne,13
2015,Rhode Island,10,Harvard,41
2015,Colgate,28,Yale,29
2015,Fordham,44,Columbia,24
2015,Kennesaw State,18,Shorter,10
2015,Jacksonville State,48,Tennessee State,13
2015,Delaware State,30,Chowan,31
2015,Ohio,35,SE Louisiana,14
2015,Oregon,61,Georgia State,28
2015,North Texas,24,Rice,38
2015,Robert Morris,35,Notre Dame College,24
2015,Incarnate Word,20,Nicholls,10
2015,Cornell,14,Bucknell,19
2015,James Madison,42,UAlbany,28
2015,Massachusetts,23,Temple,25
2015,Eastern Michigan,17,Ball State,28
2015,South Dakota,52,Drake,0
2015,Bowling Green,41,Memphis,44
2015,Kansas State,39,Louisiana Tech,33
2015,Indiana State,29,Southeast Missouri State,28
2015,Virginia,35,William & Mary,29
2015,Miami (OH),33,Cincinnati,37
2015,Miami,36,Nebraska,33
2015,Ohio State,20,Northern Illinois,13
2015,Notre Dame,30,Georgia Tech,22
2015,Marshall,45,Norfolk State,7
2015,Purdue,24,Virginia Tech,51
2015,Wisconsin,28,Troy,3
2015,LSU,45,Auburn,21
2015,North Dakota State,34,North Dakota,9
2015,Navy,45,East Carolina,21
2015,Samford,21,Chattanooga,31
2015,Oklahoma State,69,UTSA,14
2015,Youngstown State,48,St. Francis (PA),3
2015,Vanderbilt,47,Austin Peay,7
2015,Indiana,38,Western Kentucky,35
2015,Bethune-Cookman,7,Lane College,3
2015,Mississippi State,62,Northwestern State,13
2015,Eastern Washington,55,Montana State,50
2015,Idaho,41,Wofford,38
2015,Washington,31,Utah State,17
2015,Alcorn State,55,Mississippi Valley State,14
2015,Wagner,16,Monmouth,31
2015,Coastal Carolina,34,Western Illinois,27
2015,Southern,50,Jackson State,31
2015,Georgia,52,South Carolina,20
2015,Georgia Southern,48,The Citadel,13
2015,Gardner-Webb,13,Virginia Union,9
2015,Towson,29,Holy Cross,26
2015,Elon,7,North Carolina A&T,14
2015,Lafayette,7,Princeton,40
2015,Richmond,42,VMI,10
2015,Marist,34,Sacred Heart,27
2015,Florida International,39,North Carolina Central,14
2015,UCF,15,Furman,16
2015,Stephen F. Austin,14,McNeese,28
2015,Abilene Christian,49,Houston Christian,21
2015,Sam Houston,46,Lamar,49
2015,Stony Brook,31,New Hampshire,6
2015,Arkansas,24,Texas Tech,35
2015,Old Dominion,14,NC State,38
2015,Colorado State,24,Colorado,27
2015,Central Connecticut,21,Bowie State,14
2015,Middle Tennessee,73,Charlotte,14
2015,Texas State,50,Southern Miss,56
2015,Arkansas State,70,Missouri State,7
2015,Tennessee Tech,29,Mercer,22
2015,Presbyterian,23,Campbell,13
2015,Arkansas-Pine Bluff,20,Texas Southern,24
2015,Tennessee,55,Western Carolina,10
2015,Western Michigan,52,Murray State,20
2015,Liberty,31,Montana,21
2015,Prairie View A&M,53,Alabama A&M,49
2015,Alabama State,10,Grambling,34
2015,Kentucky,9,Florida,14
2015,Texas,44,California,45
2015,Toledo,30,Iowa State,23
2015,Penn State,28,Rutgers,3
2015,New Mexico State,47,UTEP,50
2015,Tulane,38,Maine,7
2015,San Diego State,27,South Alabama,34
2015,Weber State,32,Sacramento State,14
2015,Iowa,27,Pittsburgh,24
2015,Southern Utah,30,Northern Colorado,3
2015,Oregon State,35,San José State,21
2015,TCU,56,SMU,37
2015,USC,31,Stanford,41
2015,Eastern Illinois,31,Illinois State,34
2015,Washington State,31,Wyoming,14
2015,Alabama,37,Ole Miss,43
2015,UCLA,24,BYU,23
2015,Cal Poly,20,Northern Iowa,34
2015,Fresno State,24,Utah,45
2015,Arizona,77,Northern Arizona,13
2015,Hawai'i,47,UC Davis,27
2015,Villanova,13,Pennsylvania,24
2015,Memphis,53,Cincinnati,46
2015,Virginia,14,Boise State,56
2015,Oregon State,24,Stanford,42
2015,Michigan State,30,Central Michigan,10
2015,Marist,16,Jacksonville,20
2015,Butler,25,Campbell,24
2015,Abilene Christian,35,Stephen F. Austin,32
2015,UConn,18,Navy,28
2015,Syracuse,24,LSU,34
2015,Georgia,48,Southern,6
2015,Rutgers,27,Kansas,14
2015,Michigan,31,BYU,0
2015,Duke,34,Georgia Tech,20
2015,Purdue,28,Bowling Green,35
2015,Nebraska,36,Southern Miss,28
2015,South Carolina,31,UCF,14
2015,Holy Cross,14,Colgate,31
2015,Wake Forest,24,Indiana,31
2015,North Carolina,41,Delaware,14
2015,Fordham,54,Monmouth,31
2015,Boston College,17,Northern Illinois,14
2015,Columbia,16,Georgetown,24
2015,Morehead State,34,Davidson,0
2015,Yale,33,Cornell,26
2015,East Tennessee State,24,Emory & Henry College,27
2015,Valparaiso,6,San Diego,38
2015,Colorado,48,Nicholls,0
2015,Southeast Missouri State,21,Shorter,26
2015,Drake,41,Stetson,3
2015,North Dakota,31,UC Davis,24
2015,Louisiana Tech,27,Florida International,17
2015,UT Martin,41,Jacksonville State,48
2015,West Virginia,45,Maryland,6
2015,Wyoming,28,New Mexico,38
2015,Furman,24,VMI,21
2015,Baylor,70,Rice,17
2015,Elon,17,Towson,13
2015,UAlbany,17,Duquesne,14
2015,Maine,27,Rhode Island,17
2015,Ohio State,38,Western Michigan,12
2015,Notre Dame,62,Massachusetts,27
2015,Western Kentucky,56,Miami (OH),14
2015,Old Dominion,0,App State,49
2015,Kent State,29,Marshall,36
2015,Penn State,37,San Diego State,21
2015,Minnesota,27,Ohio,24
2015,Iowa,62,North Texas,16
2015,East Carolina,35,Virginia Tech,28
2015,Florida,28,Tennessee,27
2015,Texas,27,Oklahoma State,30
2015,Buffalo,21,Nevada,24
2015,Montana State,45,Cal Poly,28
2015,Northern Colorado,17,Weber State,38
2015,Alabama,34,UL Monroe,0
2015,Montana,23,Northern Arizona,14
2015,Norfolk State,24,Hampton,14
2015,Bethune-Cookman,42,Savannah St,12
2015,Illinois,27,Middle Tennessee,25
2015,Howard,13,Morgan State,21
2015,Texas Tech,52,TCU,55
2015,Princeton,52,Lehigh,26
2015,Washington,24,California,30
2015,Portland State,31,Western Oregon,0
2015,The Citadel,20,Charleston Southern,33
